"","equipment","manufacturer","engine_type","engines_amount","takeoff_max_weight..Lbs.","seatings_amount","year_manufacture","registration_category","registration_aviation","operation_phase","type_operation","fu","occuence_year","classification"
"499","AIRPLANE","EMBRAER","JET",2,10471,6,2009,"TPP","PRIVATE","RUN AFTER LANDING","PRIVATE","RJ",2009,"ACCIDENT"
"500","AIRPLANE","CESSNA AIRCRAFT","PISTON",1,2200,4,1949,"TPP","PRIVATE","TAKEOFF","PRIVATE","MS",2009,"ACCIDENT"
"501","AIRPLANE","NEIVA INDUSTRIA AERONAUTICA","PISTON",1,3968,1,1980,"SAE-AG","AGRICULTURAL","SPECIALIZED","AGRICULTURAL","RS",2009,"ACCIDENT"
"502","AIRPLANE","NEIVA INDUSTRIA AERONAUTICA","PISTON",1,3600,7,1991,"TPP","PRIVATE","TRAFFIC CIRCUIT","PRIVATE","PA",2009,"ACCIDENT"
"503","AIRPLANE","CESSNA AIRCRAFT","PISTON",1,1668,2,1978,"PRI","INSTRUCTION","RUN AFTER LANDING","INSTRUCTION","SP",2009,"ACCIDENT"
"504","AIRPLANE","EMBRAER","PISTON",2,4570,7,1979,"TPP","PRIVATE","RUN AFTER LANDING","PRIVATE","AM",2009,"ACCIDENT"
"505","AIRPLANE","BOEING COMPANY","JET",3,195000,173,0,"TPR","REGULAR","FINAL APPROXIMATION","REGULAR","AM",2009,"ACCIDENT"
"506","AIRPLANE","NEIVA INDUSTRIA AERONAUTICA","PISTON",1,3968,1,1982,"SAE","SPECIALIZED","SPECIALIZED","SPECIALIZED","RS",2009,"ACCIDENT"
"507","HELICOPTER","ROBINSON HELICOPTER","PISTON",1,2398,4,1994,"TPP","PRIVATE","CRUISE","PRIVATE","PR",2009,"ACCIDENT"
"508","AIRPLANE","NEIVA INDUSTRIA AERONAUTICA","PISTON",1,2649,4,1977,"TPP","PRIVATE","TAKEOFF","PRIVATE","GO",2009,"ACCIDENT"
"509","HELICOPTER","ROBINSON HELICOPTER","PISTON",1,1369,2,1998,"PRI","INSTRUCTION","LANDING","INSTRUCTION","RS",2009,"ACCIDENT"
"510","AIRPLANE","CESSNA AIRCRAFT","PISTON",1,3600,6,1974,"TPP","PRIVATE","TAKEOFF","PRIVATE","PA",2009,"ACCIDENT"
"511","AIRPLANE","CESSNA AIRCRAFT","PISTON",1,4100,6,1985,"TPP","PRIVATE","CRUISE","PRIVATE","SP",2009,"ACCIDENT"
"512","AIRPLANE","AIR TRACTOR","PISTON",1,6000,1,1995,"SAE","SPECIALIZED","TAKEOFF","SPECIALIZED","MS",2009,"ACCIDENT"
"513","AIRPLANE","NEIVA INDUSTRIA AERONAUTICA","PISTON",1,3600,7,1989,"TPP","PRIVATE","CRUISE","PRIVATE","MT",2009,"ACCIDENT"
"514","HELICOPTER","BELL HELICOPTER","TURBOSHAFT",1,3198,5,1996,"ADE","DIRECT ADMINISTRATION","LOW ALTITUDE NAVIGATION","NOT REGULAR","SC",2009,"ACCIDENT"
"515","AIRPLANE","CESSNA AIRCRAFT","PISTON",0,3800,0,1975,"EXT","UNKNOWN","PARKING","UNKNOWN","AM",2009,"ACCIDENT"
"516","HELICOPTER","ROBINSON HELICOPTER","PISTON",1,2398,4,2001,"TPX","AEROTAXI","LANDING","AEROTAXI","RJ",2009,"ACCIDENT"
"517","AIRPLANE","CESSNA AIRCRAFT","PISTON",1,2200,1,1950,"SAE","SPECIALIZED","ANOTHER PHASE","SPECIALIZED","SP",2009,"ACCIDENT"
"518","AIRPLANE","NEIVA INDUSTRIA AERONAUTICA","PISTON",1,3968,1,1980,"SAE","SPECIALIZED","LANDING","SPECIALIZED","RS",2009,"ACCIDENT"
"519","AIRPLANE","CESSNA AIRCRAFT","PISTON",1,3994,1,1973,"SAE","SPECIALIZED","TAKEOFF","SPECIALIZED","RS",2009,"ACCIDENT"
"520","HELICOPTER","ROBINSON HELICOPTER","PISTON",1,2500,4,2009,"TPP","PRIVATE","CRUISE","PRIVATE","MA",2009,"ACCIDENT"
"521","AIRPLANE","CIRRUS DESIGN","PISTON",1,3399,4,2005,"TPP","PRIVATE","TAKEOFF","PRIVATE","MG",2009,"ACCIDENT"
"522","AIRPLANE","AIR TRACTOR","TURBOPROP",1,6999,1,1999,"SAE","SPECIALIZED","LANDING","SPECIALIZED","MT",2009,"SERIOUS INCIDENT"
"523","AIRPLANE","EMBRAER","PISTON",2,4570,6,1978,"TPX","AEROTAXI","LANDING","AEROTAXI","AM",2009,"SERIOUS INCIDENT"
"524","AIRPLANE","BOEING COMPANY","JET",2,134997,156,1993,"TPR","REGULAR","ASCENSION","REGULAR","SC",2009,"SERIOUS INCIDENT"
"525","AIRPLANE","RAYTHEON AIRCRAFT","TURBOPROP",2,15000,11,1997,"TPP","PRIVATE","ASCENSION","PRIVATE","MT",2009,"SERIOUS INCIDENT"
"526","AIRPLANE","PIPER AIRCRAFT","PISTON",1,2899,1,1969,"SAE","SPECIALIZED","LOW ALTITUDE NAVIGATION","SPECIALIZED","SC",2009,"ACCIDENT"
"527","AIRPLANE","NEIVA INDUSTRIA AERONAUTICA","PISTON",1,3417,1,1973,"SAE","SPECIALIZED","ANOTHER PHASE","SPECIALIZED","RS",2009,"ACCIDENT"
"528","AIRPLANE","NEIVA INDUSTRIA AERONAUTICA","PISTON",1,2649,4,1979,"TPP","PRIVATE","TAKEOFF","PRIVATE","BA",2010,"ACCIDENT"
"529","AIRPLANE","AEROSPATIALE AND ALENIA","TURBOPROP",2,49603,73,2008,"TPR","REGULAR","RUSH IN THE AIR","REGULAR","PR",2010,"SERIOUS INCIDENT"
"530","AIRPLANE","CESSNA AIRCRAFT","PISTON",1,3300,1,1976,"SAE-AG","AGRICULTURAL","TAKEOFF","AGRICULTURAL","GO",2010,"ACCIDENT"
"531","AIRPLANE","***","PISTON",1,1798,2,2009,"PET","EXPERIMENTAL","UNKNOWN","EXPERIMENTAL","PR",2009,"ACCIDENT"
"532","HELICOPTER","EUROCOPTER FRANCE","TURBOSHAFT",1,4629,6,1994,"TPP","PRIVATE","CRUISE","PRIVATE","SP",2010,"ACCIDENT"
"533","ULTRALIGHT","***","PISTON",1,1620,2,2004,"PET","EXPERIMENTAL","FINAL APPROXIMATION","EXPERIMENTAL","RJ",2010,"ACCIDENT"
"534","HELICOPTER","HELIBRAS","TURBOSHAFT",1,4299,6,1981,"TPX","AEROTAXI","CRUISE","AEROTAXI","AM",2010,"ACCIDENT"
"535","AIRPLANE","AERO BOERO","PISTON",1,1697,2,1992,"PRI","INSTRUCTION","LANDING","INSTRUCTION","SC",2010,"ACCIDENT"
"536","AIRPLANE","AERO BOERO","PISTON",1,1697,2,1993,"PRI","INSTRUCTION","LANDING","INSTRUCTION","GO",2010,"ACCIDENT"
"537","AIRPLANE","EMBRAER","TURBOPROP",2,12345,1,1976,"TPX","AEROTAXI","DESCEND","AEROTAXI","PA",2010,"ACCIDENT"
"538","AIRPLANE","EMBRAER","PISTON",2,4570,6,1981,"TPP","PRIVATE","ASCENSION","PRIVATE","SP",2010,"ACCIDENT"
"539","AIRPLANE","CESSNA AIRCRAFT","PISTON",1,4199,1,1977,"SAE-AG","AGRICULTURAL","TAKEOFF","AGRICULTURAL","PR",2010,"ACCIDENT"
"540","AIRPLANE","CESSNA AIRCRAFT","PISTON",1,3800,6,1981,"TPP","PRIVATE","LANDING","PRIVATE","MT",2010,"ACCIDENT"
"541","HELICOPTER","ROBINSON HELICOPTER","PISTON",1,2398,4,1997,"SAE","SPECIALIZED","TAKEOFF","SPECIALIZED","SP",2010,"ACCIDENT"
"542","ULTRALIGHT","***","PISTON",1,947,2,2000,"PET","EXPERIMENTAL","ASCENSION","EXPERIMENTAL","RJ",2010,"ACCIDENT"
"543","HELICOPTER","HELIBRAS","TURBOSHAFT",1,4960,6,2005,"ADE","DIRECT ADMINISTRATION","MANEUVER","POLICIAL","RJ",2009,"ACCIDENT"
"544","AIRPLANE","NEIVA INDUSTRIA AERONAUTICA","PISTON",1,2649,4,1976,"TPP","PRIVATE","LANDING","PRIVATE","DF",2010,"SERIOUS INCIDENT"
"545","AIRPLANE","NEIVA INDUSTRIA AERONAUTICA","PISTON",1,3968,1,2000,"SAE-AG","AGRICULTURAL","SPECIALIZED","AGRICULTURAL","MT",2010,"ACCIDENT"
"546","AIRPLANE","BEECH AIRCRAFT","PISTON",1,3500,4,1994,"TPP","PRIVATE","LANDING","PRIVATE","TO",2010,"SERIOUS INCIDENT"
"547","AIRPLANE","NEIVA INDUSTRIA AERONAUTICA","PISTON",1,3968,1,2005,"SAE-AG","AGRICULTURAL","ANOTHER PHASE","AGRICULTURAL","MT",2010,"ACCIDENT"
"548","AIRPLANE","NEIVA INDUSTRIA AERONAUTICA","PISTON",1,3968,1,2004,"SAE-AG","AGRICULTURAL","LOW ALTITUDE NAVIGATION","AGRICULTURAL","MT",2010,"ACCIDENT"
"549","AIRPLANE","NEIVA INDUSTRIA AERONAUTICA","PISTON",1,3968,1,2003,"SAE","SPECIALIZED","SPECIALIZED","SPECIALIZED","SC",2010,"SERIOUS INCIDENT"
"550","AIRPLANE","EMBRAER","PISTON",2,4570,7,1979,"TPP","PRIVATE","CRUISE","PRIVATE","AM",2010,"SERIOUS INCIDENT"
"551","AIRPLANE","PIPER AIRCRAFT","TURBOPROP",2,8699,7,1980,"TPP","PRIVATE","RUN AFTER LANDING","PRIVATE","PR",2010,"SERIOUS INCIDENT"
"552","AIRPLANE","ANTONIO CESAR DA SILVA AMARAL","PISTON",1,3201,4,2009,"PET","EXPERIMENTAL","LANDING","EXPERIMENTAL","MG",2010,"SERIOUS INCIDENT"
"553","AIRPLANE","EMBRAER","TURBOPROP",2,12500,20,1991,"TPX","AEROTAXI","LANDING","AEROTAXI","MT",2010,"SERIOUS INCIDENT"
"554","AIRPLANE","NEIVA INDUSTRIA AERONAUTICA","PISTON",1,2550,4,1982,"PRI","INSTRUCTION","ASCENSION","INSTRUCTION","MG",2010,"ACCIDENT"
"555","AIRPLANE","CESSNA AIRCRAFT","TURBOPROP",1,8750,11,1993,"TPX","AEROTAXI","TAKEOFF","AEROTAXI","AC",2010,"SERIOUS INCIDENT"
"556","AIRPLANE","LEARJET","JET",2,18300,10,1981,"TPX","AEROTAXI","TAKEOFF","AEROTAXI","AM",2010,"SERIOUS INCIDENT"
"557","AIRPLANE","CESSNA AIRCRAFT","JET",2,13300,7,1991,"TPX","AEROTAXI","CRUISE","AEROTAXI","PR",2010,"SERIOUS INCIDENT"
"558","AIRPLANE","CESSNA AIRCRAFT","PISTON",2,5500,6,1976,"TPP","PRIVATE","DESCEND","PRIVATE","MG",2010,"ACCIDENT"
"559","AIRPLANE","EMBRAER","JET",2,10471,6,2009,"TPR","REGULAR","RUN AFTER LANDING","REGULAR","SP",2010,"ACCIDENT"
"560","AIRPLANE","CESSNA AIRCRAFT","PISTON",1,1600,2,1969,"PRI","INSTRUCTION","TAKEOFF","INSTRUCTION","PR",2010,"SERIOUS INCIDENT"
"561","AIRPLANE","AIRBUS INDUSTRIE","JET",4,522494,0,0,"***","UNKNOWN","LANDING","REGULAR","SP",2006,"SERIOUS INCIDENT"
"562","AIRPLANE","AERO BOERO","PISTON",1,1697,2,1992,"PRI","INSTRUCTION","TAXI","INSTRUCTION","SP",2009,"ACCIDENT"
"563","HELICOPTER","HELIBRAS","TURBOSHAFT",1,4960,7,1999,"TPP","PRIVATE","ENGINE START","PRIVATE","SP",2010,"ACCIDENT"
"564","AIRPLANE","EMBRAER","PISTON",2,4570,7,1979,"TPX","AEROTAXI","TAKEOFF","AEROTAXI","AM",2009,"SERIOUS INCIDENT"
"565","AIRPLANE","CESSNA AIRCRAFT","PISTON",1,3399,4,1969,"TPP","PRIVATE","TAKEOFF","PRIVATE","GO",2010,"ACCIDENT"
"566","AIRPLANE","BEECH AIRCRAFT","PISTON",2,5299,6,1974,"ADE","DIRECT ADMINISTRATION","LANDING","NOT REGULAR","RR",2010,"ACCIDENT"
"567","AIRPLANE","CESSNA AIRCRAFT","PISTON",1,3800,6,1973,"TPP","PRIVATE","ANOTHER PHASE","PRIVATE","MT",2010,"ACCIDENT"
"568","AIRPLANE","NEIVA INDUSTRIA AERONAUTICA","PISTON",1,3399,7,1977,"TPX","AEROTAXI","LANDING","AEROTAXI","PA",2010,"ACCIDENT"
"569","AIRPLANE","PIPER AIRCRAFT","PISTON",1,1750,2,1974,"TPP","PRIVATE","RUN AFTER LANDING","PRIVATE","GO",2009,"SERIOUS INCIDENT"
"570","AIRPLANE","PIPER AIRCRAFT","PISTON",2,4750,6,1997,"TPP","PRIVATE","LANDING","PRIVATE","PR",2010,"ACCIDENT"
"571","AIRPLANE","CESSNA AIRCRAFT","PISTON",1,3198,6,1962,"TPP","PRIVATE","FINAL APPROXIMATION","PRIVATE","MS",2010,"ACCIDENT"
"572","AIRPLANE","XAVANTE","PISTON",1,1851,2,1974,"PRI","INSTRUCTION","TAKEOFF","INSTRUCTION","GO",2010,"ACCIDENT"
"573","AIRPLANE","BEECH AIRCRAFT","PISTON",1,3597,6,1974,"ADE","DIRECT ADMINISTRATION","LANDING","POLICIAL","RS",2010,"SERIOUS INCIDENT"
"574","AIRPLANE","CESSNA AIRCRAFT","PISTON",2,5299,6,1973,"TPN","NOT REGULAR","RUN AFTER LANDING","REGULAR","BA",2009,"SERIOUS INCIDENT"
"575","AIRPLANE","AERO BOERO","PISTON",1,1697,2,1991,"PRI","INSTRUCTION","TAKEOFF","INSTRUCTION","TO",2010,"ACCIDENT"
"576","AIRPLANE","CESSNA AIRCRAFT","PISTON",1,3800,6,1970,"TPP","PRIVATE","LANDING","PRIVATE","GO",2010,"SERIOUS INCIDENT"
"577","AIRPLANE","BEECH AIRCRAFT","PISTON",2,5399,6,1974,"AIF","INDIRECT ADMINISTRATION","LANDING","PRIVATE","PA",2010,"ACCIDENT"
"578","AIRPLANE","NILSON SULZBACH PERES","PISTON",1,1168,2,1989,"PET","EXPERIMENTAL","LANDING","EXPERIMENTAL","GO",2010,"ACCIDENT"
"579","AIRPLANE","EMBRAER","PISTON",2,4570,6,1978,"TPX","AEROTAXI","LANDING","AEROTAXI","MT",2010,"ACCIDENT"
"580","AIRPLANE","PIPER AIRCRAFT","PISTON",2,6499,8,1973,"TPX","AEROTAXI","CRUISE","AEROTAXI","BA",2010,"SERIOUS INCIDENT"
"581","AIRPLANE","CESSNA AIRCRAFT","PISTON",2,5500,6,1979,"TPP","PRIVATE","LANDING","PRIVATE","GO",2010,"SERIOUS INCIDENT"
"582","AIRPLANE","CESSNA AIRCRAFT","PISTON",1,1668,2,1985,"PRI","INSTRUCTION","ENGINE START","INSTRUCTION","SP",2010,"SERIOUS INCIDENT"
"583","AIRPLANE","CIA AERONAUTICA PAULISTA","PISTON",1,1294,2,1946,"PRI","INSTRUCTION","TAKEOFF","INSTRUCTION","PE",2010,"ACCIDENT"
"584","HELICOPTER","HELIBRAS","TURBOSHAFT",1,4960,6,2006,"ADE","DIRECT ADMINISTRATION","DESCEND","POLICIAL","MG",2010,"SERIOUS INCIDENT"
"585","AIRPLANE","CESSNA AIRCRAFT","PISTON",1,2248,4,1962,"TPP","PRIVATE","LANDING","PRIVATE","PE",2010,"SERIOUS INCIDENT"
"586","AIRPLANE","NEIVA INDUSTRIA AERONAUTICA","PISTON",1,3968,1,1978,"SAE-AG","AGRICULTURAL","RUN AFTER LANDING","AGRICULTURAL","BA",2010,"ACCIDENT"
"587","AIRPLANE","BRITTEN-NORMAN","PISTON",2,6300,10,1971,"AIF","INDIRECT ADMINISTRATION","ASCENSION","PRIVATE","RR",2010,"SERIOUS INCIDENT"
"588","AIRPLANE","NEIVA INDUSTRIA AERONAUTICA","PISTON",1,1455,2,1962,"PIN","INSTRUCTION","RUN AFTER LANDING","INSTRUCTION","SP",2009,"SERIOUS INCIDENT"
"589","AIRPLANE","AERO BOERO","PISTON",1,1697,2,1992,"PRI","INSTRUCTION","RUN AFTER LANDING","INSTRUCTION","SC",2009,"SERIOUS INCIDENT"
"590","AIRPLANE","PIPER AIRCRAFT","PISTON",2,3600,6,1969,"PRI","INSTRUCTION","MANEUVER","INSTRUCTION","MG",2009,"SERIOUS INCIDENT"
"591","AIRPLANE","EMBRAER","PISTON",2,4570,6,1976,"TPX","AEROTAXI","TAKEOFF","AEROTAXI","RS",2009,"SERIOUS INCIDENT"
"592","AIRPLANE","AERO BOERO","PISTON",1,1697,3,1992,"PRI","INSTRUCTION","TAKEOFF","INSTRUCTION","ES",2009,"SERIOUS INCIDENT"
"593","AIRPLANE","***","PISTON",1,2425,2,2009,"PEX","EXPERIMENTAL","LANDING","EXPERIMENTAL","AP",2010,"ACCIDENT"
"594","HELICOPTER","ROBINSON HELICOPTER","PISTON",1,2500,4,2005,"TPP","PRIVATE","CRUISE","PRIVATE","RJ",2010,"ACCIDENT"
"595","AIRPLANE","AIR TRACTOR","TURBOPROP",1,16001,2,2003,"ADE","DIRECT ADMINISTRATION","MANEUVER","POLICIAL","RJ",2010,"ACCIDENT"
"596","AIRPLANE","CESSNA AIRCRAFT","PISTON",1,1668,2,1982,"PRI","INSTRUCTION","TAKEOFF","INSTRUCTION","RS",2010,"ACCIDENT"
"597","AIRPLANE","CESSNA AIRCRAFT","PISTON",1,2299,4,1965,"TPP","PRIVATE","CRUISE","PRIVATE","BA",2010,"SERIOUS INCIDENT"
"598","AIRPLANE","FOKKER","JET",2,97995,107,1992,"TPR","REGULAR","CRUISE","REGULAR","SP",2010,"SERIOUS INCIDENT"
"599","AIRPLANE","NEIVA INDUSTRIA AERONAUTICA","PISTON",1,2899,4,1980,"TPP","PRIVATE","LANDING","PRIVATE","MG",2010,"SERIOUS INCIDENT"
"600","AIRPLANE","AERO BOERO","PISTON",1,1697,2,1992,"PRI","INSTRUCTION","RUN AFTER LANDING","INSTRUCTION","MT",2010,"SERIOUS INCIDENT"
"601","AIRPLANE","CESSNA AIRCRAFT","PISTON",1,1600,2,1965,"PRI","INSTRUCTION","MANEUVER","INSTRUCTION","BA",2010,"SERIOUS INCIDENT"
"602","AIRPLANE","AEROMOT","PISTON",1,1984,2,2008,"PIN","INSTRUCTION","RUN AFTER LANDING","INSTRUCTION","TO",2010,"ACCIDENT"
"603","AIRPLANE","EMBRAER","PISTON",2,4570,7,1981,"TPP","PRIVATE","LANDING","PRIVATE","PR",2010,"SERIOUS INCIDENT"
"604","AIRPLANE","CESSNA AIRCRAFT","PISTON",1,3999,0,0,"TPP","PRIVATE","ASCENSION","PRIVATE","SP",2010,"ACCIDENT"
"605","ULTRALIGHT","***","PISTON",1,1653,2,2009,"PET","EXPERIMENTAL","TAKEOFF","EXPERIMENTAL","MT",2010,"ACCIDENT"
"606","AIRPLANE","EMBRAER","PISTON",2,4570,7,1979,"TPX","AEROTAXI","ASCENSION","AEROTAXI","AM",2010,"ACCIDENT"
"607","AIRPLANE","PIPER AIRCRAFT","PISTON",1,2599,4,1974,"TPP","PRIVATE","FINAL APPROXIMATION","PRIVATE","MT",2010,"ACCIDENT"
"608","AIRPLANE","EMBRAER","TURBOPROP",2,12345,20,1976,"TPX","AEROTAXI","LANDING","AEROTAXI","PR",2010,"ACCIDENT"
"609","AIRPLANE","PIPER AIRCRAFT","PISTON",2,11023,0,0,"TPP","PRIVATE","RUN AFTER LANDING","UNKNOWN","SP",2010,"ACCIDENT"
"610","AIRPLANE","AERO BOERO","PISTON",1,1697,2,1993,"PRI","INSTRUCTION","TAKEOFF","INSTRUCTION","GO",2010,"ACCIDENT"
"611","AIRPLANE","FOKKER","JET",2,97995,107,1991,"TPR","REGULAR","RUN AFTER LANDING","REGULAR","DF",2010,"SERIOUS INCIDENT"
"612","AIRPLANE","NEIVA INDUSTRIA AERONAUTICA","PISTON",1,3968,1,1982,"SAE-AG","AGRICULTURAL","ANOTHER PHASE","AGRICULTURAL","AL",2010,"ACCIDENT"
"613","AIRPLANE","CESSNA AIRCRAFT","PISTON",1,3600,0,0,"EXT","UNKNOWN","LANDING","UNKNOWN","SP",2010,"ACCIDENT"
"614","AIRPLANE","NEIVA INDUSTRIA AERONAUTICA","PISTON",1,3968,1,1980,"SAE-AG","AGRICULTURAL","ANOTHER PHASE","AGRICULTURAL","BA",2010,"ACCIDENT"
"615","HELICOPTER","ROBINSON HELICOPTER","PISTON",1,2398,4,1999,"TPP","PRIVATE","TAKEOFF","PRIVATE","SP",2010,"ACCIDENT"
"616","AIRPLANE","NEIVA INDUSTRIA AERONAUTICA","PISTON",1,3968,1,1989,"SAE","SPECIALIZED","SPECIALIZED","SPECIALIZED","RS",2010,"SERIOUS INCIDENT"
"617","AIRPLANE","AERO BOERO","PISTON",1,1697,3,1993,"PRI","INSTRUCTION","TAKEOFF","INSTRUCTION","SP",2010,"SERIOUS INCIDENT"
"618","ULTRALIGHT","***","PISTON",1,1653,2,2009,"PEX","EXPERIMENTAL","MANEUVER","EXPERIMENTAL","RS",2010,"ACCIDENT"
"619","ULTRALIGHT","***","PISTON",1,1124,2,2005,"PET","EXPERIMENTAL","LANDING","EXPERIMENTAL","CE",2010,"ACCIDENT"
"620","HELICOPTER","EUROCOPTER FRANCE","TURBOSHAFT",1,4960,6,1997,"SAE","SPECIALIZED","FINAL STRETCH","SPECIALIZED","RO",2010,"ACCIDENT"
"621","AIRPLANE","NEIVA INDUSTRIA AERONAUTICA","PISTON",1,3968,1,0,"SAE-AG","AGRICULTURAL","TAKEOFF","AGRICULTURAL","PA",2010,"ACCIDENT"
"622","AIRPLANE","BEECH AIRCRAFT","PISTON",2,5399,6,1973,"TPX","AEROTAXI","LANDING","AEROTAXI","MT",2010,"SERIOUS INCIDENT"
"623","AIRPLANE","AEROSPATIALE AND ALENIA","TURBOPROP",2,37258,52,1995,"TPR","REGULAR","RUN AFTER LANDING","REGULAR","MG",2010,"SERIOUS INCIDENT"
"624","AIRPLANE","NEIVA INDUSTRIA AERONAUTICA","PISTON",1,3968,1,1979,"TPP","PRIVATE","LANDING","PRIVATE","RS",2007,"ACCIDENT"
"625","ULTRALIGHT","FABRICACAO PROPRIA","PISTON",1,0,0,0,"PET","EXPERIMENTAL","LOW ALTITUDE NAVIGATION","EXPERIMENTAL","RJ",2010,"ACCIDENT"
"626","AIRPLANE","NEIVA INDUSTRIA AERONAUTICA","PISTON",2,4750,6,1986,"TPP","PRIVATE","TAKEOFF","PRIVATE","PE",2010,"ACCIDENT"
"627","HELICOPTER","ROBINSON HELICOPTER","PISTON",1,1366,2,1988,"PRI","INSTRUCTION","HOVERING","INSTRUCTION","RJ",2010,"ACCIDENT"
"628","AIRPLANE","NEIVA INDUSTRIA AERONAUTICA","PISTON",1,1455,2,1961,"PRI","INSTRUCTION","TAKEOFF","INSTRUCTION","MG",2010,"ACCIDENT"
"629","AIRPLANE","CESSNA AIRCRAFT","PISTON",1,2799,4,1963,"TPP","PRIVATE","ASCENSION","PRIVATE","MA",2010,"ACCIDENT"
"630","AIRPLANE","BEECH AIRCRAFT","TURBOPROP",2,13999,10,1986,"ADE","DIRECT ADMINISTRATION","TAKEOFF","NOT REGULAR","SP",2010,"ACCIDENT"
"631","AIRPLANE","NEIVA INDUSTRIA AERONAUTICA","PISTON",2,4750,7,1984,"TPX","AEROTAXI","TAXI","AEROTAXI","MT",2010,"SERIOUS INCIDENT"
"632","AIRPLANE","AERO BOERO","PISTON",1,1697,2,1992,"PRI","INSTRUCTION","TRAFFIC CIRCUIT","INSTRUCTION","PR",2010,"SERIOUS INCIDENT"
"633","AIRPLANE","PIPER AIRCRAFT","PISTON",1,4343,6,2004,"TPP","PRIVATE","ENGINE START","PRIVATE","TO",2010,"SERIOUS INCIDENT"
"634","AIRPLANE","CIA AERONAUTICA PAULISTA","PISTON",1,1294,2,1946,"TPP","PRIVATE","LANDING","PRIVATE","RS",2010,"SERIOUS INCIDENT"
"635","HELICOPTER","ROBINSON HELICOPTER","PISTON",1,2500,4,2004,"TPP","PRIVATE","CRUISE","PRIVATE","SP",2010,"ACCIDENT"
"636","AIRPLANE","NEIVA INDUSTRIA AERONAUTICA","PISTON",1,2649,4,1975,"TPP","PRIVATE","CRUISE","PRIVATE","MT",2010,"ACCIDENT"
"637","AIRPLANE","CIRRUS DESIGN","PISTON",1,3399,4,2009,"TPP","PRIVATE","LANDING","PRIVATE","DF",2010,"ACCIDENT"
"638","AIRPLANE","CESSNA AIRCRAFT","PISTON",1,2200,4,1958,"TPP","PRIVATE","ASCENSION","PRIVATE","TO",2010,"ACCIDENT"
"639","AIRPLANE","CESSNA AIRCRAFT","PISTON",1,2799,4,1964,"TPP","PRIVATE","TAKEOFF","PRIVATE","SP",2010,"ACCIDENT"
"640","AIRPLANE","CESSNA AIRCRAFT","TURBOPROP",1,8750,2,1987,"TPX","AEROTAXI","CRUISE","AEROTAXI","PA",2010,"ACCIDENT"
"641","AIRPLANE","LEARJET","JET",2,21499,9,1988,"TPX","AEROTAXI","ASCENSION","AEROTAXI","RJ",2010,"ACCIDENT"
"642","AIRPLANE","EMBRAER","PISTON",2,4750,7,1982,"TPX","AEROTAXI","TAKEOFF","AEROTAXI","GO",2010,"SERIOUS INCIDENT"
"643","AIRPLANE","EMBRAER","PISTON",2,4570,6,1982,"TPX","AEROTAXI","TAKEOFF","AEROTAXI","PA",2010,"ACCIDENT"
"644","AIRPLANE","PIPER AIRCRAFT","PISTON",2,3999,6,1974,"PRI","INSTRUCTION","LANDING","INSTRUCTION","SP",2010,"SERIOUS INCIDENT"
"645","AIRPLANE","INPAER INDUSTRIA PAULISTA E AERONÁUTICA","PISTON",1,2645,4,2010,"PET","EXPERIMENTAL","MANEUVER","EXPERIMENTAL","GO",2010,"SERIOUS INCIDENT"
"646","AIRPLANE","AIRBUS INDUSTRIE","JET",2,141095,154,2002,"TPR","REGULAR","LANDING","REGULAR","SP",2010,"SERIOUS INCIDENT"
"647","AIRPLANE","NEIVA INDUSTRIA AERONAUTICA","PISTON",1,3000,4,0,"TPP","PRIVATE","CRUISE","PRIVATE","MT",2007,"ACCIDENT"
"648","AIRPLANE","CESSNA AIRCRAFT","PISTON",1,3099,4,1986,"TPP","PRIVATE","GROUND OPERATION","PRIVATE","MA",2010,"ACCIDENT"
"649","AIRPLANE","EMBRAER","JET",2,48479,54,2000,"TPR","REGULAR","FINAL STRETCH","REGULAR","BA",2010,"ACCIDENT"
"650","AIRPLANE","NEIVA INDUSTRIA AERONAUTICA","PISTON",1,2899,4,1981,"TPP","PRIVATE","TAKEOFF","PRIVATE","MA",2010,"ACCIDENT"
"651","AIRPLANE","CESSNA AIRCRAFT","PISTON",1,2200,4,1952,"PRI","INSTRUCTION","LANDING","INSTRUCTION","RS",2010,"ACCIDENT"
"652","AIRPLANE","CHINCUL SACAIFI","PISTON",1,2749,4,1990,"PRI","INSTRUCTION","DESCEND","INSTRUCTION","RS",2010,"SERIOUS INCIDENT"
"653","HELICOPTER","ROBINSON HELICOPTER","PISTON",1,2500,4,2009,"TPP","PRIVATE","CRUISE","PRIVATE","PA",2010,"ACCIDENT"
"654","AIRPLANE","PIPER AIRCRAFT","PISTON",2,3498,5,1959,"PRI","INSTRUCTION","DESCEND","INSTRUCTION","GO",2010,"ACCIDENT"
"655","ULTRALIGHT","***","PISTON",1,1146,2,2007,"PET","EXPERIMENTAL","LANDING","EXPERIMENTAL","RS",2010,"SERIOUS INCIDENT"
"656","AIRPLANE","FLYER INDUSTRIA AERONAUTICA LTDA","PISTON",1,1763,0,0,"PET","EXPERIMENTAL","TAKEOFF","EXPERIMENTAL","RJ",2010,"SERIOUS INCIDENT"
"657","AIRPLANE","AERO BOERO","PISTON",1,1697,2,1992,"PRI","INSTRUCTION","TAKEOFF","INSTRUCTION","RS",2010,"SERIOUS INCIDENT"
