"","equipment","manufacturer","engine_type","engines_amount","takeoff_max_weight..Lbs.","seatings_amount","year_manufacture","registration_category","registration_aviation","operation_phase","type_operation","fu","occuence_year","classification"
"1680","AIRPLANE","***","UNKNOWN",0,2425,0,0,"PET","EXPERIMENTAL","ENGINE OR ROTOR CHECKING","EXPERIMENTAL","MA",2014,"ACCIDENT"
"1681","ULTRALIGHT","ORION LTDA","PISTON",1,1146,2,2009,"PET","EXPERIMENTAL","TAKEOFF","EXPERIMENTAL","CE",2014,"ACCIDENT"
"1682","HELICOPTER","HELIBRAS","TURBOSHAFT",1,4960,7,2010,"AIF","INDIRECT ADMINISTRATION","UNKNOWN","PRIVATE","PA",2014,"ACCIDENT"
"1683","AIRPLANE","AERO BOERO","PISTON",1,1860,2,1991,"PRI","INSTRUCTION","RUN AFTER LANDING","INSTRUCTION","SP",2014,"ACCIDENT"
"1684","AIRPLANE","CESSNA AIRCRAFT","PISTON",1,2299,4,1963,"TPP","PRIVATE","TAKEOFF","PRIVATE","MT",2014,"ACCIDENT"
"1685","ULTRALIGHT","***","PISTON",1,1212,2,1992,"PET","EXPERIMENTAL","CRUISE","EXPERIMENTAL","SP",2014,"ACCIDENT"
"1686","AIRPLANE","NEIVA INDUSTRIA AERONAUTICA","PISTON",1,3968,1,1977,"SAE-AG","AGRICULTURAL","LANDING","AGRICULTURAL","PR",2014,"SERIOUS INCIDENT"
"1687","ULTRALIGHT","***","PISTON",1,1653,1,2008,"PET","EXPERIMENTAL","MANEUVER","EXPERIMENTAL","GO",2014,"SERIOUS INCIDENT"
"1688","ULTRALIGHT","FRANCISCO E.D.","PISTON",1,1278,2,2008,"TPP","PRIVATE","CRUISE","EXPERIMENTAL","RS",2011,"ACCIDENT"
"1689","AIRPLANE","NEIVA INDUSTRIA AERONAUTICA","PISTON",2,4750,7,1995,"TPP","PRIVATE","LANDING","PRIVATE","SP",2011,"SERIOUS INCIDENT"
"1690","AIRPLANE","AEROSPATIALE AND ALENIA","TURBOPROP",2,37258,50,1988,"TPR","REGULAR","CRUISE","REGULAR","MG",2011,"SERIOUS INCIDENT"
"1691","AIRPLANE","CESSNA AIRCRAFT","PISTON",1,2500,4,1973,"TPP","PRIVATE","CRUISE","PRIVATE","SC",2011,"SERIOUS INCIDENT"
"1692","AIRPLANE","NEIVA INDUSTRIA AERONAUTICA","PISTON",1,3968,1,2003,"SAE-AG","AGRICULTURAL","RUN AFTER LANDING","AGRICULTURAL","SP",2011,"SERIOUS INCIDENT"
"1693","AIRPLANE","EMBRAER","TURBOPROP",2,12500,20,1980,"TPP","PRIVATE","TAKEOFF","PRIVATE","PR",2014,"ACCIDENT"
"1694","AIRPLANE","NEIVA INDUSTRIA AERONAUTICA","PISTON",2,4750,6,1984,"TPP","PRIVATE","LANDING","PRIVATE","GO",2014,"SERIOUS INCIDENT"
"1695","AIRPLANE","CESSNA AIRCRAFT","PISTON",1,1598,2,1968,"PRI","INSTRUCTION","DESCEND","INSTRUCTION","PR",2012,"SERIOUS INCIDENT"
"1696","AIRPLANE","JOSE ROBERTO BARBOSA","PISTON",1,2777,4,2011,"PET","EXPERIMENTAL","LANDING","EXPERIMENTAL","MG",2012,"SERIOUS INCIDENT"
"1697","AIRPLANE","NEIVA INDUSTRIA AERONAUTICA","PISTON",1,3399,7,1976,"TPP","PRIVATE","TAKEOFF","PRIVATE","MA",2014,"ACCIDENT"
"1698","AIRPLANE","CESSNA AIRCRAFT","PISTON",1,3800,6,1975,"TPP","PRIVATE","LANDING","PRIVATE","SP",2014,"SERIOUS INCIDENT"
"1699","AIRPLANE","MOONEY AIRCRAFT","PISTON",1,2899,4,1989,"TPP","PRIVATE","LANDING","PRIVATE","SP",2014,"ACCIDENT"
"1700","AIRPLANE","CESSNA AIRCRAFT","JET",2,20200,14,2010,"TPP","PRIVATE","TRAFFIC CIRCUIT","PRIVATE","SP",2014,"ACCIDENT"
"1701","HELICOPTER","EUROCOPTER FRANCE","TURBOSHAFT",1,5350,7,2004,"TPP","PRIVATE","LANDING","PRIVATE","GO",2014,"ACCIDENT"
"1702","AIRPLANE","CESSNA AIRCRAFT","PISTON",1,2949,4,1970,"TPP","PRIVATE","ASCENSION","PRIVATE","CE",2014,"ACCIDENT"
"1703","AIRPLANE","BEECH AIRCRAFT","PISTON",1,3048,6,1972,"TPP","PRIVATE","CRUISE","PRIVATE","SP",2014,"ACCIDENT"
"1704","AIRPLANE","NEIVA INDUSTRIA AERONAUTICA","PISTON",1,3600,7,1986,"TPX","AEROTAXI","RUN AFTER LANDING","AEROTAXI","RR",2014,"ACCIDENT"
"1705","AIRPLANE","BEECH AIRCRAFT","PISTON",1,3048,5,1990,"TPP","PRIVATE","TAKEOFF","PRIVATE","PA",2014,"ACCIDENT"
"1706","AIRPLANE","CESSNA AIRCRAFT","PISTON",1,2500,4,1970,"TPP","PRIVATE","TAKEOFF","PRIVATE","PR",2014,"ACCIDENT"
"1707","HELICOPTER","ROBINSON HELICOPTER","PISTON",1,2400,4,1997,"TPP","PRIVATE","TAKEOFF","PRIVATE","PR",2014,"ACCIDENT"
"1708","AIRPLANE","CESSNA AIRCRAFT","PISTON",1,2449,4,1997,"TPP","PRIVATE","RUSH IN THE AIR","PRIVATE","MT",2014,"ACCIDENT"
"1709","ULTRALIGHT","DIEGO CÂMARA MORAIS","PISTON",1,1653,2,2011,"PET","EXPERIMENTAL","TRAFFIC CIRCUIT","EXPERIMENTAL","BA",2014,"ACCIDENT"
"1710","ULTRALIGHT","ANDRE A.FERDINAND","PISTON",1,1543,2,2005,"PET","EXPERIMENTAL","RUN AFTER LANDING","EXPERIMENTAL","SP",2014,"ACCIDENT"
"1711","ULTRALIGHT","HENRIQUE DRUMOND LIMA DE OLIVEIRA","PISTON",1,1653,2,2010,"PET","EXPERIMENTAL","CRUISE","EXPERIMENTAL","BA",2014,"ACCIDENT"
"1712","ULTRALIGHT","***","PISTON",1,1499,2,2006,"PET","EXPERIMENTAL","LOW ALTITUDE NAVIGATION","EXPERIMENTAL","BA",2014,"ACCIDENT"
"1713","ULTRALIGHT","***","PISTON",1,1102,2,2002,"PET","EXPERIMENTAL","LANDING","EXPERIMENTAL","RJ",2014,"ACCIDENT"
"1714","AIRPLANE","***","PISTON",1,2094,1,1998,"PEX","EXPERIMENTAL","TAXI","EXPERIMENTAL","SP",2014,"SERIOUS INCIDENT"
"1715","AIRPLANE","AERO BOERO","PISTON",1,1697,2,1991,"PRI","INSTRUCTION","TAKEOFF","INSTRUCTION","PR",2014,"SERIOUS INCIDENT"
"1716","HELICOPTER","SIKORSKY AIRCRAFT","TURBOSHAFT",2,20500,21,1977,"TPX","AEROTAXI","FINAL APPROXIMATION","AEROTAXI","AM",2014,"SERIOUS INCIDENT"
"1717","AIRPLANE","CIA AERONAUTICA PAULISTA","PISTON",1,1294,2,1947,"PRI","INSTRUCTION","LANDING","INSTRUCTION","SP",2014,"SERIOUS INCIDENT"
"1718","AIRPLANE","NEIVA INDUSTRIA AERONAUTICA","PISTON",1,1455,2,1963,"PRI","INSTRUCTION","LANDING","INSTRUCTION","SP",2014,"SERIOUS INCIDENT"
"1719","AIRPLANE","BEECH AIRCRAFT","PISTON",2,5000,6,1982,"TPP","PRIVATE","LANDING","PRIVATE","DF",2014,"SERIOUS INCIDENT"
"1720","AIRPLANE","PIPER AIRCRAFT","PISTON",2,3990,0,0,"TPP","PRIVATE","RUN AFTER LANDING","PRIVATE","PA",2014,"SERIOUS INCIDENT"
"1721","AIRPLANE","EMBRAER","PISTON",2,4570,6,1982,"TPX","AEROTAXI","TAXI","AEROTAXI","PA",2014,"SERIOUS INCIDENT"
"1722","AIRPLANE","AERO BOERO","PISTON",1,1697,3,1990,"PRI","INSTRUCTION","LANDING","INSTRUCTION","SP",2014,"SERIOUS INCIDENT"
"1723","AIRPLANE","CESSNA AIRCRAFT","PISTON",1,3800,6,1976,"TPX","AEROTAXI","RUN AFTER LANDING","AEROTAXI","RR",2014,"SERIOUS INCIDENT"
"1724","AIRPLANE","RAYTHEON AIRCRAFT","TURBOPROP",2,15000,11,2006,"TPP","PRIVATE","RUN AFTER LANDING","PRIVATE","AM",2014,"SERIOUS INCIDENT"
"1725","HELICOPTER","ROBINSON HELICOPTER","PISTON",1,2500,4,2012,"TPP","PRIVATE","CRUISE","PRIVATE","MG",2014,"ACCIDENT"
"1726","ULTRALIGHT","EDRA INDUSTRIA AERONAUTICA LTDA","PISTON",1,1322,2,2012,"PET","EXPERIMENTAL","MANEUVER","EXPERIMENTAL","RS",2014,"ACCIDENT"
"1727","ULTRALIGHT","***","PISTON",1,1212,2,2001,"PET","EXPERIMENTAL","DESCEND","EXPERIMENTAL","SP",2014,"ACCIDENT"
